Unnamed: 0,지자체,관광지,주소,위도,경도
0,강원,안목해변,강원 강릉시 창해로14번길 20-1,37.7726047009298,128.947338719945
1,강원,남이섬,강원 춘천시 남산면 남이섬길 1,37.7901249506709,127.526128703219
2,강원,오죽헌,강원 강릉시 율곡로3139번길 24 오죽헌,37.7783132755465,128.876708449301
3,강원,속초아이,강원 속초시 청호해안길 2 속초아이,38.1907182838207,128.602722865718
4,강원,하슬라아트월드,강원 강릉시 강동면 율곡로 1441,37.7054583826871,129.007843904557
5,광주,운천저수지,광주 서구 쌍촌동 869-9,35.1479915053642,126.854555362071
6,광주,헬로애니멀 광주점,광주 동구 충장로 90 갤러리존 4층,35.147761465921,126.916582579709
7,광주,광주솔로몬로파크,광주 북구 오문로 244 광주솔로몬로파크,35.189151691703,126.930974580398
8,광주,무등산 리프트&모노레일,광주 동구 지호로164번길 14-10,35.1487597375332,126.946834844587
9,광주,광주광역시립수목원,광주 남구 도동길 142,35.0905522003278,126.882375228479
10,대구,스파크랜드,대구 중구 동성로6길 61 레드존 7~9층,35.8687083802364,128.598741541322
11,대구,김광석다시그리기길,대구 중구 대봉동 6-11,35.8602848354323,128.606954813376
12,대구,대구이월드,대구 달서구 두류공원로 200 이월드,35.8548554163402,128.564820995296
13,대구,83타워,대구 달서구 두류공원로 200 83타워,35.8548554163402,128.564820995296
14,대구,엘리바덴 신월성점,대구 달서구 조암로 38,35.8249753956799,128.525660744168
15,대전,상소동산림욕장,대전 동구 산내로 714,36.2332870825552,127.472081727612
16,대전,대전오월드,대전 중구 사정공원로 70,36.287499244271,127.398503895122
17,대전,장태산자연휴양림,대전 서구 장안로 461,36.2159674164178,127.341277658507
18,대전,국립대전숲체원,대전 유성구 숲체원로 124 국립대전숲체원,36.324326503063,127.291191283223
19,대전,한밭수목원,대전 서구 둔산대로 169,36.3664690153972,127.388017285001
20,부산,광안리해수욕장,부산 수영구 광안해변로 219,35.1537727634193,129.118519972498
21,부산,다대포해수욕장,부산 사하구 다대동,35.060278219962,128.967656104235
22,부산,해운대 포장마차촌,부산 해운대구 해운대해변로 236,35.158488646796,129.157233978723
23,부산,해운대해수욕장,부산 해운대구 우동,35.1727271517264,129.148399576019
24,부산,롯데월드 어드벤처 부산,부산 기장군 기장읍 동부산관광로 42,35.1961130003038,129.213344761055
25,서울,서울식물원,서울 강서구 마곡동로 161,37.5722444079878,126.83284283132
26,서울,롯데월드 어드벤처,서울 송파구 올림픽로 240,37.5113096112036,127.098141751177
27,서울,경복궁,서울 종로구 사직로 161 경복궁,37.5759040910202,126.976842133821
28,서울,석촌호수 서호,서울 송파구 잠실로 148,37.5081,127.1006
29,서울,서울어린이대공원,서울 광진구 능동로 216,37.5520117024951,127.078772391405
30,세종,아띠쥬,세종특별자치시 대평3길 18 해피라움 블루 7층,36.4736874177162,127.27493378724
31,세종,고복저수지,세종 연서면 용암리,36.6024731634957,127.227787221164
32,세종,국립세종수목원,세종 수목원로 136,36.4980961605711,127.28578889756
33,세종,조치원테마거리,세종특별자치시 조치원읍 장안로 10,36.6008724468518,127.301102521511
34,세종,도도리파크,세종특별자치시 조치원읍 문예회관길 27,36.597954995426,127.286971586334
35,인천,인천차이나타운,인천 중구 차이나타운로26번길 12-17,37.4774611460167,126.61842492431
36,인천,송월동동화마을,인천 중구 송월동3가 17-1,37.4784519677895,126.619622581217
37,인천,인천대공원,인천 남동구 장수동 산79,37.456982526717,126.76140638115
38,인천,월미테마파크,인천 중구 월미문화로 81,37.4714716858953,126.596289892617
39,인천,월미도,인천 중구 북성동1가 98-352,37.4735617428471,126.599200290515
40,제주,스누피가든,제주 제주시 구좌읍 금백조로 930,33.4441312997032,126.778166881442
41,제주,함덕해수욕장,제주 제주시 조천읍 조함해안로 525,33.5428267548889,126.670510321052
42,제주,카멜리아힐,제주 서귀포시 안덕면 병악로 166,33.290140185764,126.368365225196
43,제주,성산일출봉,제주 서귀포시 성산읍 성산리 1,33.458409737774,126.942496776521
44,제주,동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38,33.3003197983736,126.636202494643
45,경남,거창창포원,경남 거창군 남상면 창포원길 21-1,35.6549568240682,127.939573018616
46,경남,합천영상테마파크,경남 합천군 용주면 합천호수로 757 촬영세트,35.5484070462648,128.072840383129
47,경남,스파더스페이스,경남 창원시 마산합포구 구산면 유산군령로 250,35.1308271083415,128.561398245423
48,경남,동피랑벽화마을,경남 통영시 동피랑1길 6-18,34.8452953864791,128.427647248107
49,경남,스카이라인 루지 통영,경남 통영시 발개로 178,34.8244086050393,128.424156803554
50,경북,월정교,경북 경주시 인왕동 921-1,35.8241051121253,129.231496617804
51,경북,황리단길,경북 경주시 포석로 1080,35.8374082960758,129.209953703559
52,경북,대릉원,경북 경주시 황남동 31-1,35.838191058762,129.213333992314
53,경북,첨성대,경북 경주시 인왕동 839-1,35.8346770719392,129.219062867048
54,경북,영일대해수욕장,경북 포항시 북구 두호동 685-1,36.0572902321339,129.378068992389
55,전남,목포해상케이블카 북항승강장,전남 목포시 해양대학로 240,34.7993907264176,126.370028785252
56,전남,순천만국가정원,전남 순천시 국가정원1호길 47,34.928871680184,127.500801495864
57,전남,이순신광장,전남 여수시 선어시장길 6,34.7395781561546,127.736371787128
58,전남,순천만습지,전남 순천시 순천만길 513-25,34.8857970100738,127.5092833426
59,전남,담양관방제림,전남 담양군 담양읍 객사7길 37,35.3234229627293,126.989650438009
60,전북,전주동물원,전북 전주시 덕진구 소리로 68 전주동물원,35.8573064437554,127.144076226899
61,전북,경기전,전북 전주시 완산구 태조로 44,35.8155189138776,127.150120200082
62,전북,전주한옥마을,전북 전주시 완산구 기린대로 99,35.8182133310179,127.153608497904
63,전북,경암동철길마을,전북 군산시 경촌4길 14,35.9813098587833,126.736212066425
64,전북,한국도로공사 전주수목원,전북특별자치도 전주시 덕진구 번영로 462-45,35.8711324888408,127.05376981211
65,충남,공주한옥마을,충남 공주시 관광단지길 12,36.464685623294,127.107591634932
66,충남,공산성,충남 공주시 금성동 53-51,36.4634225069232,127.126052452684
67,충남,유기방가옥,충남 서산시 운산면 이문안길 72-10,36.8246914028261,126.573356256004
68,충남,청산 수목원,충남 태안군 남면 연꽃길 70 충남 태안군 남면 신장리 18번지,36.6865855893743,126.297394428507
69,충남,온양온천랜드,충남 아산시 삼동로28번길 46,36.7810573330667,127.015797798629
70,충북,청남대,충북 청주시 상당구 문의면 청남대길 646 청남대관리사업소,36.4622489023318,127.490094954363
71,충북,포레스트리솜 해브나인스파,충북 제천시 백운면 금봉로 365,37.1577055926962,128.046378748942
72,충북,의림지,충북 제천시 모산동 241,37.1731348171937,128.210616039632
73,충북,충주라바랜드,충북 충주시 남한강로 30,36.9896944626968,127.90778694861
74,충북,수생식물학습원,충북 옥천군 군북면 방아실길 255,36.3913954032883,127.553060094295
75,경기,에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,37.294066695953,127.202128029885
76,경기,화담숲,경기 광주시 도척면 도척윗로 278-1,37.3407647182545,127.289422510268
77,경기,서울랜드,경기 과천시 광명로 181,37.4365474290339,127.02404491326
78,경기,니지모리스튜디오,경기 동두천시 천보산로 567-12 니지모리스튜디오,37.8792024894437,127.092002226899
79,경기,한국민속촌,경기 용인시 기흥구 민속촌로 90 한국민속촌,37.2591318929712,127.122543088887
80,울산,간월재,울산 울주군 상북면 간월산길 614,35.5482015237281,129.045355891527
81,울산,와우쥬 본점,울산 남구 대학로 164 웰츠타워상가 214호,35.5487459779166,129.263322207183
82,울산,영남알프스,울산 울주군 상북면,35.5905343282687,129.091289767869
83,울산,태화강동굴피아,"울산 남구 남산로 306 ,",35.545241678587,129.302437921115
84,울산,자수정동굴나라,울산 울주군 상북면 자수정로 212,35.5471199339197,129.092804646327
